location,site,year1stTag,tag,plot,dah2011.cm,height2011.cm,basal_stems2011,fruit2011,comments2011,fruit.jul.2012,notes.jul.2012,dah.2012,hgt.2012,basal.stems.2012,frt.2012,frt.err.2012,notes.2012,dah.max.2012,mortality.2012
long_island,caleb_smith,2012,CS12-49,18,,,,,,0,,0.06,6,1,0,,,,
long_island,caleb_smith,2012,CS12-52,18,,,,,,0,,0.1,7,1,0,,,,
long_island,caleb_smith,2012,CS12-55,18,,,,,,0,,0.09,9,1,0,,,,
long_island,caleb_smith,2012,CS12-56,18,,,,,,0,,0.07,8,1,0,,,,
long_island,caleb_smith,2012,CS12-57,18,,,,,,0,,0.08,6,1,0,,,,
long_island,caleb_smith,2012,CS12-59,18,,,,,,0,,0.09,5,1,0,,,,
long_island,caleb_smith,2012,CS12-60,18,,,,,,0,,0.09,6,1,0,,,,
long_island,caleb_smith,2012,CS12-62,18,,,,,,0,,0.22,28,1,0,,,,
long_island,caleb_smith,2012,CS12-63,18,,,,,,0,,0.09,12,1,0,,,,
long_island,caleb_smith,2012,CS12-64,18,,,,,,0,,0.08,6,1,0,,,,
long_island,caleb_smith,2012,CS12-7,18,,,,,,,,NA,NA,NA,NA,,Dead - tag recovered,,
long_island,caleb_smith,2011,2160,19,1.2,101,1,0,top broken,0,,1.25,128,1,0,,,,
long_island,caleb_smith,2012,CS12-138,19,,,,,,0,,0.08,12,1,0,,just S of 2160,,
long_island,caleb_smith,2011,2161,20,1.28,24,1,0,,0,,1.28,224,2,0,,Height typo in 2011,,
long_island,caleb_smith,2011,2162,20,0.43,53,1,0,,0,,0.46,55,1,0,,Top maybe dead,,
long_island,caleb_smith,2011,2163,20,0.5,85,1,0,,0,,0.5,89,1,0,,,,
long_island,caleb_smith,2011,2164,20,0.78,186,3,0,,0,,0.84,187,3,0,,,,
long_island,caleb_smith,2011,2165,20,0.42,77,2,0,,0,,0.48,78,1,0,,,,
long_island,caleb_smith,2012,CS12-129,20,,,,,,0,,0.1,7,1,0,,,,
long_island,sbu_sib,2011,2167,1,1.7,203,1,0,,,,1.9,201,1,0,,,,
long_island,sbu_sib,2011,2168,2,0.29,25,2,0,attached to large cut stem,,,0.36,31,2,0,,,,
long_island,sbu_sib,2011,2169,2,0.16,22,1,0,attached to large stem,,,0.19,12,1,0,,,,
long_island,sbu_sib,2011,2170,2,0.35,27,1,0,attached to large stem,,,0.39,27,2,0,,,,
long_island,sbu_sib,2011,2171,2,0.41,56,1,0,,,,0.43,58,1,0,,,,
long_island,sbu_sib,2011,2172,2,0.91,96,2,0,,,,0.99,101,2,0,,,,
long_island,sbu_sib,2011,2173,2,0.25,25,1,0,,,,0.3,27,1,0,,,,
long_island,sbu_sib,2011,2174,3,0.75,121,3,0,"attached to large dead stem, dah = 2.77",,,0.72,82,2,0,,"Tallest Living Stem: 0.65 dah, 111 height, 2 living stems and 2 dead",,
long_island,sbu_sib,2011,2175,4,2.01,200,2,0,,,,2,213,2,0,,,2.3,
long_island,sbu_sib,2011,2176,4,1.2,135,1,0,,,,1.4,107,1,0,,,,
long_island,sbu_sib,2011,2177,4,1.97,203,2,0,,,,NA,NA,NA,NA,,Not Found,,
long_island,sbu_sib,2011,2178,4,0.55,83,2,0,,,,NA,NA,NA,NA,,Not Found,,
long_island,sbu_sib,2011,2179,4,0.59,67,1,0,,,,NA,NA,NA,NA,,Not Found,,
